Seed,Fold,Baseline,Topk,Explainer,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,1,Zeros,0.1,extremal_mask_gru,0.9341,0.1271,0.3189,-0.2276,-0.07271
42,1,Zeros,0.1,extremal_mask_bi_gru,0.9426,0.08249,0.2535,-0.1622,-0.06267
42,1,Zeros,0.2,extremal_mask_none,0.948,0.09944,0.2843,-0.1931,-0.0672
42,1,Zeros,0.2,extremal_mask_gru,0.9382,0.1284,0.329,-0.2377,-0.07312
42,1,Zeros,0.2,extremal_mask_bi_gru,0.945,0.0837,0.2618,-0.1705,-0.06271
42,1,Zeros,0.3,extremal_mask_none,0.9522,0.09192,0.2746,-0.1833,-0.06419
42,1,Zeros,0.3,extremal_mask_gru,0.9435,0.1273,0.3294,-0.2381,-0.072
42,1,Zeros,0.3,extremal_mask_bi_gru,0.9482,0.08373,0.2643,-0.1731,-0.06107
42,1,Zeros,0.4,extremal_mask_none,0.9535,0.08321,0.2647,-0.1735,-0.06075
42,1,Zeros,0.4,extremal_mask_gru,0.9474,0.1254,0.3289,-0.2376,-0.07014
42,1,Zeros,0.4,extremal_mask_bi_gru,0.9513,0.08329,0.2661,-0.1749,-0.05865
42,1,Zeros,0.5,extremal_mask_none,0.9582,0.07629,0.2557,-0.1644,-0.05803
42,1,Zeros,0.5,extremal_mask_gru,0.9515,0.1212,0.3243,-0.233,-0.06796
42,1,Zeros,0.5,extremal_mask_bi_gru,0.955,0.08001,0.263,-0.1717,-0.05598
42,1,Zeros,0.6,extremal_mask_none,0.9648,0.06565,0.24,-0.1487,-0.05477
42,1,Zeros,0.6,extremal_mask_gru,0.9617,0.09184,0.2793,-0.1881,-0.06352
42,1,Zeros,0.6,extremal_mask_bi_gru,0.9604,0.06628,0.2394,-0.1481,-0.0514
42,2,Average,0.1,extremal_mask_none,0.9824,0.01453,0.114,-0.0234,-0.01074
42,2,Average,0.1,extremal_mask_gru,0.9826,0.01629,0.1165,-0.02584,-0.01253
