Seed,Preservation,Deletion,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,True,False,4,Zeros,0.1,extremal_mask,1.0,1.0,0.9241,0.1624,0.3848,-0.2841,-0.08031
42,True,False,4,Zeros,0.2,extremal_mask,1.0,1.0,0.9365,0.1624,0.4026,-0.3019,-0.08196
42,True,False,4,Zeros,0.3,extremal_mask,1.0,1.0,0.943,0.1609,0.4059,-0.3053,-0.08108
42,True,False,4,Zeros,0.4,extremal_mask,1.0,1.0,0.9489,0.1595,0.4069,-0.3062,-0.0798
42,True,False,4,Zeros,0.5,extremal_mask,1.0,1.0,0.9522,0.1553,0.4029,-0.3023,-0.07819
42,True,False,4,Zeros,0.6,extremal_mask,1.0,1.0,0.9543,0.1411,0.3812,-0.2806,-0.07561

42,True,True,2,Average,0.1,extremal_mask,1.0,1.0,0.9865,-0.0008861,0.09041,-0.003446,0.0022
42,True,True,2,Average,0.2,extremal_mask,1.0,1.0,0.9863,-0.0009753,0.09062,-0.00365,0.002391
42,True,True,2,Average,0.3,extremal_mask,1.0,1.0,0.9852,-0.001053,0.09075,-0.003783,0.00255
42,True,True,2,Average,0.4,extremal_mask,1.0,1.0,0.9859,-0.001018,0.09087,-0.003904,0.002738
42,True,True,2,Average,0.5,extremal_mask,1.0,1.0,0.9854,-0.001046,0.09099,-0.004027,0.003036
42,True,True,2,Average,0.6,extremal_mask,1.0,1.0,0.9852,-0.001233,0.09073,-0.003762,0.003374
42,True,True,2,Zeros,0.1,extremal_mask,1.0,1.0,0.9759,-0.007381,0.1625,-0.07551,-0.03167
42,True,True,2,Zeros,0.2,extremal_mask,1.0,1.0,0.9759,-0.01028,0.1682,-0.08119,-0.02196
42,True,True,2,Zeros,0.3,extremal_mask,1.0,1.0,0.9759,-0.01339,0.1698,-0.08285,-0.01209
42,True,True,2,Zeros,0.4,extremal_mask,1.0,1.0,0.9759,-0.01568,0.1691,-0.08213,-0.003165
42,True,True,2,Zeros,0.5,extremal_mask,1.0,1.0,0.9759,-0.01717,0.1692,-0.08221,0.004578
42,True,True,2,Zeros,0.6,extremal_mask,1.0,1.0,0.9759,-0.01953,0.164,-0.07705,0.01347
42,True,True,1,Average,0.1,extremal_mask,1.0,1.0,0.9833,-0.0007828,0.09787,-0.00441,0.00449
42,True,True,1,Average,0.2,extremal_mask,1.0,1.0,0.9826,-0.0004176,0.09905,-0.005588,0.00443
42,True,True,1,Average,0.3,extremal_mask,1.0,1.0,0.9817,-0.0003592,0.09909,-0.005628,0.004701
42,True,True,1,Average,0.4,extremal_mask,1.0,1.0,0.9822,-0.0002349,0.09911,-0.005649,0.004683
42,True,True,1,Average,0.5,extremal_mask,1.0,1.0,0.9817,-3.758e-05,0.09933,-0.005873,0.004525
42,True,True,1,Average,0.6,extremal_mask,1.0,1.0,0.9815,0.0001266,0.0994,-0.005944,0.004447
42,True,True,1,Zeros,0.1,extremal_mask,1.0,1.0,0.9713,-0.009806,0.159,-0.06553,-0.005782
42,True,True,1,Zeros,0.2,extremal_mask,1.0,1.0,0.9711,-0.009968,0.1682,-0.07473,0.002111
42,True,True,1,Zeros,0.3,extremal_mask,1.0,1.0,0.97,-0.009272,0.1722,-0.0787,0.01058
42,True,True,1,Zeros,0.4,extremal_mask,1.0,1.0,0.9696,-0.007861,0.1748,-0.08129,0.01691
42,True,True,1,Zeros,0.5,extremal_mask,1.0,1.0,0.968,-0.006787,0.1768,-0.08334,0.02399
42,True,True,1,Zeros,0.6,extremal_mask,1.0,1.0,0.968,-0.008342,0.1719,-0.0784,0.03195
42,True,True,3,Average,0.1,extremal_mask,1.0,1.0,0.9863,-0.003911,0.1016,0.0004703,0.007971
42,True,True,3,Average,0.2,extremal_mask,1.0,1.0,0.9852,-0.003425,0.1024,-0.0003508,0.007813
42,True,True,3,Average,0.3,extremal_mask,1.0,1.0,0.9848,-0.002462,0.1038,-0.001711,0.007272
42,True,True,3,Average,0.4,extremal_mask,1.0,1.0,0.9848,-0.002111,0.1043,-0.002177,0.007232
42,True,True,3,Average,0.5,extremal_mask,1.0,1.0,0.9837,-0.001532,0.1051,-0.003006,0.006827
42,True,True,3,Average,0.6,extremal_mask,1.0,1.0,0.983,-0.001088,0.1057,-0.003609,0.006459
