Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,0,Average,0.6,occlusion,1.0,1.0,0.9846,-0.000458,0.0954,-0.004665,0.001129
42,0,Average,0.6,retain,1.0,1.0,0.985,-0.003391,0.09183,-0.001093,0.004403
42,0,Zeros,0.1,deep_lift,1.0,1.0,0.9741,0.001936,0.1101,-0.01935,-0.007804
42,0,Zeros,0.1,dyna_mask,1.0,1.0,0.9824,0.001334,0.09681,-0.006076,-0.009036
42,0,Zeros,0.1,extremal_mask,1.0,1.0,0.9343,0.129,0.342,-0.2477,-0.0732
42,0,Zeros,0.1,integrated_gradients,1.0,1.0,0.9748,0.001959,0.1088,-0.01805,-0.00853
42,0,Zeros,0.1,gradient_shap,1.0,1.0,0.9656,-0.002068,0.1202,-0.02237,0.001977
42,0,Zeros,0.1,lime,1.0,1.0,0.9863,-0.0005616,0.0923,-0.001562,-0.01095
42,0,Zeros,0.1,augmented_occlusion,1.0,1.0,0.9719,0.008327,0.1171,-0.0264,-0.01115
42,0,Zeros,0.1,occlusion,1.0,1.0,0.9711,0.006407,0.1194,-0.02865,-0.009075
42,0,Zeros,0.1,retain,1.0,1.0,0.973,-0.003144,0.106,-0.01529,-0.00101
42,0,Zeros,0.2,deep_lift,1.0,1.0,0.9709,-0.007083,0.1164,-0.02562,-0.006237
42,0,Zeros,0.2,dyna_mask,1.0,1.0,0.9743,-0.0009327,0.1024,-0.0117,0.001649
42,0,Zeros,0.2,extremal_mask,1.0,1.0,0.9356,0.1321,0.3591,-0.2648,-0.07472
42,0,Zeros,0.2,integrated_gradients,1.0,1.0,0.9713,-0.006138,0.1164,-0.02564,-0.006191
42,0,Zeros,0.2,gradient_shap,1.0,1.0,0.9626,-0.009215,0.1354,-0.03755,0.004793
42,0,Zeros,0.2,lime,1.0,1.0,0.9822,-0.00937,0.08423,0.006505,-0.006999
42,0,Zeros,0.2,augmented_occlusion,1.0,1.0,0.9706,0.001643,0.1229,-0.03218,-0.009701
42,0,Zeros,0.2,occlusion,1.0,1.0,0.9696,-0.004085,0.1229,-0.03215,-0.007761
42,0,Zeros,0.2,retain,1.0,1.0,0.9709,-0.01292,0.1111,-0.02038,0.002459
42,0,Zeros,0.3,deep_lift,1.0,1.0,0.9706,-0.01025,0.1251,-0.03433,-0.005339
42,0,Zeros,0.3,dyna_mask,1.0,1.0,0.9719,-0.005457,0.1029,-0.01215,0.01029
42,0,Zeros,0.3,extremal_mask,1.0,1.0,0.9382,0.1319,0.3613,-0.2671,-0.07363
42,0,Zeros,0.3,integrated_gradients,1.0,1.0,0.9715,-0.009767,0.1223,-0.03155,-0.004634
42,0,Zeros,0.3,gradient_shap,1.0,1.0,0.9615,-0.01184,0.1483,-0.05052,0.003345
42,0,Zeros,0.3,lime,1.0,1.0,0.9778,-0.01452,0.08239,0.008343,-0.002597
42,0,Zeros,0.3,augmented_occlusion,1.0,1.0,0.9687,-0.005234,0.1249,-0.03412,-0.007651
42,0,Zeros,0.3,occlusion,1.0,1.0,0.9693,-0.01052,0.1265,-0.03573,-0.006226
42,0,Zeros,0.3,retain,1.0,1.0,0.9706,-0.01735,0.1196,-0.02884,0.002497
42,0,Zeros,0.4,deep_lift,1.0,1.0,0.9706,-0.01265,0.1303,-0.03956,-0.004602
42,0,Zeros,0.4,dyna_mask,1.0,1.0,0.9711,-0.00773,0.1048,-0.01404,0.01644
42,0,Zeros,0.4,extremal_mask,1.0,1.0,0.9361,0.1315,0.3636,-0.2693,-0.07177
42,0,Zeros,0.4,integrated_gradients,1.0,1.0,0.9711,-0.01263,0.1263,-0.0356,-0.00321
42,0,Zeros,0.4,gradient_shap,1.0,1.0,0.9613,-0.01212,0.1578,-0.06003,0.001412
42,0,Zeros,0.4,lime,1.0,1.0,0.9682,0.03341,0.1439,-0.05312,-0.0003567
42,0,Zeros,0.4,augmented_occlusion,1.0,1.0,0.97,-0.01101,0.125,-0.03429,-0.005799
42,0,Zeros,0.4,occlusion,1.0,1.0,0.9706,-0.01402,0.1273,-0.03651,-0.005545
42,0,Zeros,0.4,retain,1.0,1.0,0.9709,-0.01952,0.1253,-0.03457,0.001492
42,0,Zeros,0.5,deep_lift,1.0,1.0,0.9706,-0.01453,0.1329,-0.04219,-0.004023
42,0,Zeros,0.5,dyna_mask,1.0,1.0,0.9704,-0.007456,0.1095,-0.01873,0.02175
42,0,Zeros,0.5,extremal_mask,1.0,1.0,0.9367,0.1283,0.3598,-0.2656,-0.06899
42,0,Zeros,0.5,integrated_gradients,1.0,1.0,0.9713,-0.0146,0.1288,-0.03801,-0.002619
42,0,Zeros,0.5,gradient_shap,1.0,1.0,0.9611,-0.01212,0.1633,-0.06551,0.0001565
42,0,Zeros,0.5,lime,1.0,1.0,0.9706,0.003298,0.1444,-0.05369,0.002208
42,0,Zeros,0.5,augmented_occlusion,1.0,1.0,0.9702,-0.01469,0.126,-0.03527,-0.004209
42,0,Zeros,0.5,occlusion,1.0,1.0,0.9702,-0.01558,0.1289,-0.03821,-0.005301
42,0,Zeros,0.5,retain,1.0,1.0,0.9709,-0.02079,0.1286,-0.03786,0.001072
42,0,Zeros,0.6,deep_lift,1.0,1.0,0.9709,-0.01659,0.1333,-0.04255,-0.00341
42,0,Zeros,0.6,dyna_mask,1.0,1.0,0.9704,-0.005904,0.1164,-0.02562,0.02553
42,0,Zeros,0.6,extremal_mask,1.0,1.0,0.9428,0.1008,0.3218,-0.2276,-0.0638
42,0,Zeros,0.6,integrated_gradients,1.0,1.0,0.9709,-0.01662,0.1295,-0.03881,-0.002028
42,0,Zeros,0.6,gradient_shap,1.0,1.0,0.9611,-0.01267,0.1655,-0.06765,-0.0006427
42,0,Zeros,0.6,lime,1.0,1.0,0.9709,-0.006025,0.1453,-0.05452,0.02302
42,0,Zeros,0.6,augmented_occlusion,1.0,1.0,0.9702,-0.01751,0.1274,-0.03665,-0.003131
42,0,Zeros,0.6,occlusion,1.0,1.0,0.9702,-0.01775,0.1287,-0.03794,-0.004355
42,0,Zeros,0.6,retain,1.0,1.0,0.9709,-0.0216,0.1314,-0.04067,0.001004
42,1,Average,0.1,deep_lift,1.0,1.0,0.9917,-0.001107,0.09036,0.0006885,0.002172
42,1,Average,0.1,dyna_mask,1.0,1.0,0.9935,0.0002456,0.092,-0.0009599,0.001252
42,1,Average,0.1,extremal_mask,1.0,1.0,0.9861,0.01013,0.1079,-0.01664,-0.007624
42,1,Average,0.1,integrated_gradients,1.0,1.0,0.9911,-0.0005319,0.09142,-0.0003806,0.001626
42,1,Average,0.1,gradient_shap,1.0,1.0,0.9922,-0.001133,0.09262,4.199e-05,0.004205
42,1,Average,0.1,lime,1.0,1.0,0.9976,-0.0005955,0.09034,0.0007011,0.002425
42,1,Average,0.1,augmented_occlusion,1.0,1.0,0.9924,-0.001085,0.0908,0.0002474,0.002206
