Seed,Fold,Explainer,Lambda_1,Lambda_2,AUP,AUR,Information,Entropy,AUROC,AUPRC
42,0,extremal_mask,1.0,0.1,0.9532,0.08042,164.9,13.34,0.5451,0.4566
42,1,extremal_mask,1.0,0.1,0.8604,0.063,156.1,5.801,0.4995,0.3947
42,2,extremal_mask,1.0,0.1,0.9773,0.1232,185.6,24.57,0.583,0.5128
42,3,extremal_mask,1.0,0.1,0.9851,0.07906,166.2,12.42,0.5857,0.4786
42,4,extremal_mask,1.0,0.1,0.9936,0.0726,162.0,8.718,0.5567,0.4475
42,0,extremal_mask,1.0,1.0,0.8828,0.7369,1.453e+03,40.0,0.8802,0.8778
42,1,extremal_mask,1.0,1.0,0.9004,0.7437,1.466e+03,36.98,0.8886,0.8795
42,2,extremal_mask,1.0,1.0,0.8457,0.7484,1.443e+03,39.09,0.8843,0.8594
42,3,extremal_mask,1.0,1.0,0.9039,0.7397,1.347e+03,45.24,0.9065,0.8951
42,4,extremal_mask,1.0,1.0,0.9271,0.7572,1.504e+03,36.04,0.903,0.8962
42,0,extremal_mask,1.0,10.0,0.9176,0.736,1.373e+03,42.37,0.8909,0.8854
42,1,extremal_mask,1.0,10.0,0.8978,0.7446,1.392e+03,39.6,0.8818,0.8726
42,2,extremal_mask,1.0,10.0,0.8962,0.7371,1.455e+03,38.25,0.8949,0.8791
42,3,extremal_mask,1.0,10.0,0.8478,0.7461,1.37e+03,39.91,0.8665,0.8411
42,4,extremal_mask,1.0,10.0,0.9021,0.7583,1.509e+03,37.22,0.9027,0.8892
42,0,extremal_mask,1.0,100.0,0.8945,0.7373,1.458e+03,38.46,0.8957,0.8911
42,1,extremal_mask,1.0,100.0,0.9092,0.745,1.43e+03,37.4,0.8985,0.8904
42,2,extremal_mask,1.0,100.0,0.8944,0.7413,1.419e+03,37.48,0.8949,0.8823
42,3,extremal_mask,1.0,100.0,0.9159,0.7451,1.429e+03,37.33,0.8987,0.8955
42,4,extremal_mask,1.0,100.0,0.8678,0.7389,1.374e+03,45.92,0.8982,0.875
42,0,extremal_mask,10.0,0.01,0.3017,0.1387,71.19,59.41,0.4721,0.3216
42,1,extremal_mask,10.0,0.01,0.3765,0.1631,107.0,68.8,0.5082,0.3459
42,2,extremal_mask,10.0,0.01,0.2388,0.1452,71.2,65.39,0.4533,0.3031
42,3,extremal_mask,10.0,0.01,0.402,0.1895,105.8,72.3,0.5181,0.3712
42,4,extremal_mask,10.0,0.01,0.4548,0.2144,128.1,76.65,0.5583,0.3947
42,0,extremal_mask,10.0,0.1,0.3036,0.143,74.53,63.6,0.5095,0.3351
42,1,extremal_mask,10.0,0.1,0.3259,0.1752,100.9,65.77,0.4829,0.3294
42,2,extremal_mask,10.0,0.1,0.3571,0.1572,94.39,61.15,0.4901,0.3397
42,3,extremal_mask,10.0,0.1,0.3356,0.1593,89.25,65.38,0.4835,0.3423
42,4,extremal_mask,10.0,0.1,0.2572,0.1673,80.41,71.73,0.4724,0.3145
42,0,extremal_mask,10.0,1.0,0.2899,0.1656,73.59,71.46,0.5048,0.3301
42,1,extremal_mask,10.0,1.0,0.2909,0.1683,81.64,78.87,0.5179,0.3358
42,2,extremal_mask,10.0,1.0,0.3065,0.1582,86.97,64.52,0.4855,0.3276
42,3,extremal_mask,10.0,1.0,0.2573,0.1462,69.17,66.7,0.4688,0.3105
42,4,extremal_mask,10.0,1.0,0.3757,0.1837,103.8,71.41,0.5209,0.3623
42,0,extremal_mask,10.0,10.0,0.9951,0.2663,293.0,45.48,0.7403,0.7029
42,1,extremal_mask,10.0,10.0,0.9933,0.2557,298.9,39.73,0.7009,0.6585
42,2,extremal_mask,10.0,10.0,0.996,0.3039,357.4,46.32,0.7299,0.7044
42,3,extremal_mask,10.0,10.0,0.9938,0.2313,267.3,40.99,0.7261,0.6775
42,4,extremal_mask,10.0,10.0,0.9892,0.2668,330.3,38.89,0.7142,0.673
42,0,extremal_mask,10.0,100.0,0.9936,0.2897,339.8,43.31,0.713,0.6989
42,1,extremal_mask,10.0,100.0,0.9948,0.2797,349.2,40.75,0.7217,0.689
42,2,extremal_mask,10.0,100.0,0.9927,0.2695,330.3,40.06,0.7199,0.67
42,3,extremal_mask,10.0,100.0,0.9938,0.2442,299.2,37.59,0.7113,0.6663
42,4,extremal_mask,10.0,100.0,0.996,0.2576,290.9,42.09,0.7267,0.6898
42,0,extremal_mask,100.0,0.01,0.3484,0.2051,120.4,74.86,0.5118,0.347
42,1,extremal_mask,100.0,0.01,0.4486,0.1949,123.5,65.51,0.497,0.383
42,2,extremal_mask,100.0,0.01,0.3714,0.1708,111.0,61.24,0.4842,0.3517
42,3,extremal_mask,100.0,0.01,0.3743,0.1943,103.0,75.17,0.4876,0.3486
42,4,extremal_mask,100.0,0.01,0.3863,0.1586,103.6,63.4,0.5014,0.3524
42,0,extremal_mask,100.0,0.1,0.3825,0.2219,124.0,74.52,0.5117,0.3563
42,1,extremal_mask,100.0,0.1,0.375,0.1929,111.4,73.85,0.512,0.3683
42,2,extremal_mask,100.0,0.1,0.3905,0.2157,127.7,78.36,0.5267,0.3588
42,3,extremal_mask,100.0,0.1,0.3689,0.1998,107.3,72.24,0.5169,0.3626
42,4,extremal_mask,100.0,0.1,0.3209,0.1798,95.21,64.45,0.4695,0.3379
42,0,extremal_mask,100.0,1.0,0.2646,0.1658,79.74,76.52,0.5001,0.325
42,1,extremal_mask,100.0,1.0,0.4209,0.1628,105.5,58.93,0.5023,0.3551
42,2,extremal_mask,100.0,1.0,0.3245,0.1703,92.87,69.14,0.4961,0.34
42,3,extremal_mask,100.0,1.0,0.3345,0.1897,91.38,80.5,0.5159,0.3396
42,4,extremal_mask,100.0,1.0,0.406,0.2066,114.5,77.68,0.5393,0.3775
42,0,extremal_mask,100.0,10.0,0.3316,0.1452,85.57,61.83,0.4762,0.3283
42,1,extremal_mask,100.0,10.0,0.4693,0.2029,128.6,73.34,0.5558,0.409
42,2,extremal_mask,100.0,10.0,0.4059,0.198,111.2,80.84,0.5601,0.382
42,3,extremal_mask,100.0,10.0,0.4095,0.1941,112.2,76.0,0.5516,0.3799
42,4,extremal_mask,100.0,10.0,0.4515,0.1878,112.0,74.45,0.5515,0.3857
42,0,extremal_mask,100.0,100.0,0.3088,0.157,88.48,65.21,0.4895,0.3346
42,1,extremal_mask,100.0,100.0,0.3844,0.191,105.0,73.05,0.5226,0.3659
42,2,extremal_mask,100.0,100.0,0.4645,0.1889,119.5,70.34,0.5273,0.3864
42,3,extremal_mask,100.0,100.0,0.3041,0.1447,88.83,60.1,0.453,0.33
42,4,extremal_mask,100.0,100.0,0.3915,0.1868,113.0,70.41,0.5005,0.3572
