Seed,Mode,Topk,Explainer,Accuracy Comp,Accuracy Suff,Comprehensiveness,Cross Entropy Comp,Cross Entropy Suff,Log Odds,Sufficiency,Sensitivity,Lipschitz,
12,zeros,0.1,geodesic_integrated_gradients,0.149,0.98,0.7718,2.468,0.05089,-2.459,0.01912,None,None
12,zeros,0.1,enhanced_integrated_gradients,0.152,0.981,0.7788,2.525,0.0563,-2.516,0.01908,None,None
12,zeros,0.1,gradient_shap,0.143,0.986,0.7812,2.537,0.03615,-2.528,0.01546,None,None
12,zeros,0.1,noisy_gradient_shap,0.155,0.973,0.7808,2.567,0.0758,-2.558,0.02932,None,None
12,zeros,0.1,input_x_gradient,0.245,0.967,0.6957,1.974,0.09419,-1.965,0.03593,None,None
12,zeros,0.1,integrated_gradients,0.136,0.985,0.788,2.563,0.03575,-2.554,0.01502,None,None
12,zeros,0.1,lime,0.439,0.731,0.5222,1.503,0.7306,-1.495,0.2759,None,None
12,zeros,0.1,kernel_shap,0.829,0.32,0.1743,0.4515,1.88,-0.4425,0.6373,None,None
12,zeros,0.1,noise_tunnel,0.157,0.985,0.7672,2.378,0.04916,-2.369,0.01757,None,None
12,zeros,0.1,augmented_occlusion,0.601,0.788,0.394,1.029,0.4845,-1.02,0.2435,None,None
12,zeros,0.1,occlusion,0.233,0.973,0.6952,2.022,0.0722,-2.013,0.02651,None,None
12,zeros,0.2,deep_lift,0.012,0.997,0.8821,2.499,0.0178,-2.49,0.003207,None,None
12,zeros,0.2,extremal_mask,0.002,0.99,0.8896,2.593,0.02275,-2.584,0.007236,None,None
12,zeros,0.2,geodesic_integrated_gradients,0.013,0.997,0.8859,2.505,0.01339,-2.496,0.002204,None,None
12,zeros,0.2,enhanced_integrated_gradients,0.007,0.994,0.8862,2.51,0.01923,-2.501,0.003214,None,None
12,zeros,0.2,gradient_shap,0.011,0.998,0.8881,2.54,0.01564,-2.531,0.002385,None,None
12,zeros,0.2,noisy_gradient_shap,0.033,0.991,0.8703,2.742,0.02762,-2.733,0.008267,None,None
12,zeros,0.2,input_x_gradient,0.05,0.996,0.85,2.541,0.02084,-2.532,0.005584,None,None
12,zeros,0.2,integrated_gradients,0.008,0.998,0.8875,2.536,0.01402,-2.527,0.001696,None,None
12,zeros,0.2,lime,0.269,0.841,0.6674,2.087,0.4577,-2.078,0.1687,None,None
12,zeros,0.2,kernel_shap,0.702,0.49,0.2937,0.7984,1.458,-0.7894,0.4954,None,None
12,zeros,0.2,noise_tunnel,0.016,0.997,0.861,2.371,0.01271,-2.362,0.001853,None,None
12,zeros,0.2,augmented_occlusion,0.256,0.938,0.6827,2.044,0.1732,-2.035,0.07521,None,None
12,zeros,0.2,occlusion,0.049,0.986,0.8496,2.467,0.0458,-2.458,0.01214,None,None
12,zeros,0.5,deep_lift,0.0,0.999,0.8903,2.352,0.008973,-2.343,2.563e-09,None,None
12,zeros,0.5,extremal_mask,0.004,0.992,0.8881,2.601,0.02004,-2.592,0.006313,None,None
12,zeros,0.5,geodesic_integrated_gradients,0.0,0.999,0.8903,2.352,0.008973,-2.343,3.576e-09,None,None
12,zeros,0.5,enhanced_integrated_gradients,0.0,0.999,0.8903,2.352,0.008973,-2.343,5.543e-09,None,None
12,zeros,0.5,gradient_shap,0.0,0.999,0.8903,2.352,0.008973,-2.343,5.007e-09,None,None
12,zeros,0.5,noisy_gradient_shap,0.0,0.997,0.8951,2.494,0.01071,-2.485,0.001205,None,None
12,zeros,0.5,input_x_gradient,0.0,0.999,0.89,2.435,0.009419,-2.426,0.0003064,None,None
12,zeros,0.5,integrated_gradients,0.0,0.999,0.8903,2.352,0.008973,-2.343,4.828e-09,None,None
